smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,molecule_chembl_id,Scores_Ledock,Scores_Vina,Scores_MOE
COc1cc2nc(-c3ccc(C)o3)cc(N[C@H]3CC[C@@H](C(=O)NO)CC3)c2cc1OC,c1coc(-c2cc(NC3CCCCC3)c3ccccc3n2)c1,2660,nM,5.575118363,4.3,7,3,425.49,0,105.85,31,CHEMBL4834403,CHEMBL4855461,-8.95,-9.485,-9.4398298
COc1cc2c(NCC3CCC(c4ccc(C(=O)NO)cc4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1ccc(C2CCC(CNc3cc(-c4ccco4)nc4cc(OCCCN5CCCC5)ccc34)CC2)cc1,2760,nM,5.559090918,7.18,8,3,612.77,2,109.09,45,CHEMBL4834403,CHEMBL4849689,-9.08,-10.326,-10.840324
COc1cc2nc(-c3ccc(C)o3)cc(NCC3CCC(C(=O)NO)CC3)c2cc1OC,c1coc(-c2cc(NCC3CCCCC3)c3ccccc3n2)c1,2850,nM,5.54515514,4.54,7,3,439.51,0,105.85,32,CHEMBL4834403,CHEMBL4862781,-8.69,-9.32,-9.2888231
COc1cc2c(cc1OCCCN1CCCC1)N=C(C1CCCCC1)CN=C2NC1CCN(C(C)C)CC1,c1cc2c(cc1OCCCN1CCCC1)N=C(C1CCCCC1)CN=C2NC1CCNCC1,3100,nM,5.508638306,5.44,7,1,523.77,2,61.69,38,CHEMBL4400539,CHEMBL4454542,-7.93,-9.741,-10.089311
CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,O=C1c2ccccc2C(=O)N1CCCCCCCCCCCCNc1ccccc1,4000,nM,5.397940009,6.37,5,2,548.77,2,81.75,40,CHEMBL3414469,CHEMBL3414630,-8.04,-7.355,-9.1194229
COc1cc2nc(-c3ccc(C)o3)cc(N[C@H]3CC[C@H](C(=O)NO)CC3)c2cc1OC,c1coc(-c2cc(NC3CCCCC3)c3ccccc3n2)c1,4180,nM,5.378823718,4.3,7,3,425.49,0,105.85,31,CHEMBL4834403,CHEMBL4856550,-8.91,-9.523,-9.696023
COc1cc2c(NC3CCN(C)CC3)cc(C3CCOCC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)cc(C3CCOCC3)nc2cc1OCCCN1CCCC1,4420,nM,5.354577731,4.51,7,1,482.67,0,59.09,35,CHEMBL4130634,CHEMBL4167925,-8.94,-9.21,-10.356227
COc1cc2nc(-c3ccc(C)o3)cc(NCc3ccc(C(=O)NO)cc3)c2cc1OC,c1ccc(CNc2cc(-c3ccco3)nc3ccccc23)cc1,5400,nM,5.26760624,4.55,7,3,433.46,0,105.85,32,CHEMBL4834403,CHEMBL4863394,-8.98,-9.683,-8.9811058
COc1cc2nc(-c3ccc(C)o3)cc(NC3CCN(c4ncc(C(=O)NO)cn4)CC3)c2cc1OC,c1cnc(N2CCC(Nc3cc(-c4ccco4)nc4ccccc34)CC2)nc1,7140,nM,5.146301788,3.81,10,3,504.55,1,134.87,37,CHEMBL4834403,CHEMBL4862662,-8.95,-10.192,-10.427969
Nc1ncnc2c1nnn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,c1ncc2nnn([C@H]3CCCO3)c2n1,8000,nM,5.096910013,-2.04,12,5,385.41,1,195.52,26,CHEMBL1151871,CHEMBL552246,-9.38,-8.014,-8.9905767
COc1cc2nc(-c3ccc(C)o3)cc(NCC3CCN(c4ccc(C(=O)NO)cn4)CC3)c2cc1OC,c1ccc(N2CCC(CNc3cc(-c4ccco4)nc4ccccc34)CC2)nc1,8410,nM,5.075204004,4.66,9,3,517.59,1,121.98,38,CHEMBL4834403,CHEMBL4854659,-8.8,-9.543,-10.36661
